,Year,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
0,2010,CNG,Manual,First,62,998.0,58.16,5.0,2662
1,2015,Diesel,Manual,First,46,1582.0,126.2,5.0,19015
2,2011,Petrol,Manual,First,42,1199.0,88.7,5.0,6845
3,2012,Diesel,Manual,First,48,1248.0,88.76,7.0,9127
4,2013,Diesel,Automatic,Second,35,1968.0,140.8,5.0,26986
5,2012,LPG,Manual,First,49,814.0,55.2,5.0,3574
6,2013,Diesel,Manual,First,54,1461.0,63.1,5.0,5324
7,2016,Diesel,Automatic,First,26,2755.0,171.5,8.0,26621
8,2013,Diesel,Manual,First,48,1598.0,103.6,5.0,7910
9,2012,Diesel,Manual,Second,52,1248.0,74,5.0,2966
10,2018,Petrol,Manual,First,50,1462.0,103.25,5.0,15136
11,2012,Petrol,Automatic,First,39,1497.0,116.3,5.0,6830
12,2015,Diesel,Manual,First,59,1248.0,74,5.0,8518
13,2014,Diesel,Automatic,First,29,2179.0,187.7,5.0,41072
14,2012,Diesel,Automatic,Second,0,2179.0,115,5.0,26621
15,2014,Diesel,Manual,First,31,2477.0,175.56,7.0,22818
16,2016,Diesel,Manual,First,60,1498.0,98.6,5.0,8214
17,2017,Diesel,Manual,First,66,1248.0,74,5.0,9112
18,2014,Diesel,Manual,First,48,1461.0,83.8,5.0,9644
19,2014,Diesel,Automatic,First,34,2143.0,167.62,5.0,42594
20,2014,Diesel,Automatic,First,53,1995.0,190,5.0,28218
21,2015,Diesel,Manual,Second,55,1248.0,88.5,5.0,12550
22,2015,Petrol,Automatic,First,31,1984.0,177.01,5.0,35748
23,2010,Petrol,Manual,First,43,1197.0,80,5.0,2844
24,2010,Petrol,Automatic,First,33,1598.0,103.6,5.0,4335
25,2012,Petrol,Manual,First,39,1497.0,116.3,5.0,6465
26,2012,Diesel,Manual,First,54,1461.0,63.1,5.0,6465
27,2013,Petrol,Manual,Second,49,998.0,67.1,5.0,4183
28,2018,Petrol,Manual,First,41,1199.0,88.7,5.0,15060
29,2007,Diesel,Manual,Fourth & Above,30,2494.0,102,7.0,6084
30,2013,Diesel,Manual,First,44,1461.0,108.45,5.0,11789
31,2012,Petrol,Manual,First,34,1798.0,138.1,5.0,10268
32,2013,Diesel,Automatic,Second,26,2696.0,184,7.0,19015
33,2010,Diesel,Automatic,First,29,2698.0,179.5,5.0,17494
34,2014,Petrol,Manual,Second,37,1598.0,103.5,5.0,10618
35,2009,Petrol,Manual,Second,32,1061.0,64,5.0,2814
36,2018,Diesel,Manual,First,57,1248.0,88.5,5.0,13128
37,2017,Petrol,Manual,First,42,1198.0,82,5.0,7377
38,2013,Diesel,Automatic,First,27,2987.0,254.8,5.0,42594
39,2013,Diesel,Manual,First,51,1199.0,73.9,5.0,7606
40,2008,Petrol,Manual,Second,46,796.0,46.3,5.0,1901
41,2014,Petrol,Manual,First,59,624.0,37.5,4.0,2327
42,2017,Diesel,Manual,First,59,1198.0,77,6.0,8488
43,2014,Petrol,Manual,First,43,1197.0,82.9,5.0,7210
