,Year,Mileage,Engine,Power,Seats,Price,Fuel_Type_CNG,Fuel_Type_Diesel,Fuel_Type_LPG,Fuel_Type_Petrol
0,2010,62,998.0,58.16,5.0,2662,1,0,0,0
1,2015,46,1582.0,126.2,5.0,19015,0,1,0,0
2,2011,42,1199.0,88.7,5.0,6845,0,0,0,1
3,2012,48,1248.0,88.76,7.0,9127,0,1,0,0
4,2013,35,1968.0,140.8,5.0,26986,0,1,0,0
5,2012,49,814.0,55.2,5.0,3574,0,0,1,0
6,2013,54,1461.0,63.1,5.0,5324,0,1,0,0
7,2016,26,2755.0,171.5,8.0,26621,0,1,0,0
8,2013,48,1598.0,103.6,5.0,7910,0,1,0,0
9,2012,52,1248.0,74,5.0,2966,0,1,0,0
10,2018,50,1462.0,103.25,5.0,15136,0,0,0,1
11,2012,39,1497.0,116.3,5.0,6830,0,0,0,1
12,2015,59,1248.0,74,5.0,8518,0,1,0,0
13,2014,29,2179.0,187.7,5.0,41072,0,1,0,0
14,2012,0,2179.0,115,5.0,26621,0,1,0,0
15,2014,31,2477.0,175.56,7.0,22818,0,1,0,0
16,2016,60,1498.0,98.6,5.0,8214,0,1,0,0
17,2017,66,1248.0,74,5.0,9112,0,1,0,0
18,2014,48,1461.0,83.8,5.0,9644,0,1,0,0
19,2014,34,2143.0,167.62,5.0,42594,0,1,0,0
20,2014,53,1995.0,190,5.0,28218,0,1,0,0
21,2015,55,1248.0,88.5,5.0,12550,0,1,0,0
22,2015,31,1984.0,177.01,5.0,35748,0,0,0,1
23,2010,43,1197.0,80,5.0,2844,0,0,0,1
24,2010,33,1598.0,103.6,5.0,4335,0,0,0,1
25,2012,39,1497.0,116.3,5.0,6465,0,0,0,1
26,2012,54,1461.0,63.1,5.0,6465,0,1,0,0
27,2013,49,998.0,67.1,5.0,4183,0,0,0,1
28,2018,41,1199.0,88.7,5.0,15060,0,0,0,1
29,2007,30,2494.0,102,7.0,6084,0,1,0,0
30,2013,44,1461.0,108.45,5.0,11789,0,1,0,0
31,2012,34,1798.0,138.1,5.0,10268,0,0,0,1
32,2013,26,2696.0,184,7.0,19015,0,1,0,0
33,2010,29,2698.0,179.5,5.0,17494,0,1,0,0
34,2014,37,1598.0,103.5,5.0,10618,0,0,0,1
35,2009,32,1061.0,64,5.0,2814,0,0,0,1
36,2018,57,1248.0,88.5,5.0,13128,0,1,0,0
37,2017,42,1198.0,82,5.0,7377,0,0,0,1
38,2013,27,2987.0,254.8,5.0,42594,0,1,0,0
39,2013,51,1199.0,73.9,5.0,7606,0,1,0,0
40,2008,46,796.0,46.3,5.0,1901,0,0,0,1
41,2014,59,624.0,37.5,4.0,2327,0,0,0,1
42,2017,59,1198.0,77,6.0,8488,0,1,0,0
43,2014,43,1197.0,82.9,5.0,7210,0,0,0,1
44,2014,34,1999.0,149.92,5.0,13462,0,0,0,1
45,2016,33,1798.0,138.03,5.0,15379,0,0,0,1
46,2008,35,1991.0,112.2,5.0,6465,0,1,0,0
47,2012,26,2694.0,163.7,7.0,16657,0,0,0,1
48,2014,57,1120.0,71,5.0,5856,0,1,0,0
49,2012,38,2498.0,105,6.0,8366,0,1,0,0
50,2015,40,1968.0,174.33,5.0,32599,0,1,0,0
51,2014,53,1248.0,74,5.0,6465,0,1,0,0
52,2014,41,1248.0,75,5.0,5020,0,1,0,0
53,2013,66,1248.0,74,5.0,5856,0,1,0,0
54,2015,44,1197.0,82,5.0,5476,0,0,0,1
55,2015,35,1598.0,103.2,5.0,6069,0,0,0,1
56,2017,59,799.0,53.3,5.0,5020,0,0,0,1
57,2010,47,1197.0,78.9,5.0,3148,0,0,0,1
58,2010,31,1995.0,147.6,5.0,11789,0,1,0,0
59,2010,42,998.0,67.1,5.0,3422,0,0,0,1
60,2017,32,2393.0,147.8,8.0,25100,0,1,0,0
61,2010,47,1399.0,68,5.0,4183,0,1,0,0
62,2015,27,1796.0,186,5.0,40616,0,0,0,1
63,2011,37,2148.0,170,5.0,15212,0,1,0,0
64,2016,58,1396.0,69,5.0,3803,0,1,0,0
65,2012,38,1968.0,140,5.0,20536,0,1,0,0
66,2007,38,1497.0,78,5.0,2814,0,0,0,1
67,2019,0,1950.0,194,5.0,54261,0,1,0,0
68,2016,57,1248.0,88.5,7.0,12397,0,1,0,0
69,2018,51,1396.0,88.7,5.0,15972,0,1,0,0
70,2008,19,4806.0,500,5.0,22057,0,0,0,1
71,2015,35,2179.0,140,7.0,14679,0,1,0,0
72,2012,39,1197.0,78.9,5.0,5293,0,0,0,1
73,2015,46,1461.0,108.5,5.0,10526,0,1,0,0
74,2016,38,1198.0,86.8,5.0,9827,0,0,0,1
75,2014,43,1968.0,187.74,5.0,44875,0,1,0,0
76,2006,29,1998.0,132,8.0,6845,0,0,0,1
77,2012,30,2494.0,102,7.0,17874,0,1,0,0
78,2012,53,1248.0,74,5.0,5704,0,1,0,0
79,2017,41,1193.0,88.7,5.0,6845,0,0,0,1
80,2016,42,1198.0,86.7,5.0,7332,0,0,0,1
81,2012,47,1399.0,68,5.0,4259,0,1,0,0
82,2013,54,1248.0,73.94,5.0,4730,0,1,0,0
83,2009,41,1497.0,117.3,5.0,4943,0,0,0,1
84,2011,39,1995.0,218,5.0,21144,0,1,0,0
85,2009,47,1197.0,78.9,5.0,3422,0,0,0,1
86,2016,44,1197.0,82,5.0,8747,0,0,0,1
87,2016,41,1198.0,86.7,5.0,7606,0,0,0,1
88,2014,30,2982.0,168.5,7.0,25100,0,1,0,0
89,2018,41,1968.0,174.33,5.0,60209,0,1,0,0
90,2013,53,1498.0,89.84,5.0,8366,0,1,0,0
91,2014,35,2179.0,140,7.0,12321,0,1,0,0
92,2015,60,1498.0,98.6,5.0,5324,0,1,0,0
93,2013,51,1199.0,73.9,5.0,4244,0,1,0,0
94,2010,38,1493.0,110,5.0,5248,0,1,0,0
95,2016,44,998.0,67.1,5.0,6769,0,0,0,1
96,2010,35,1598.0,103.5,5.0,4031,0,0,0,1
97,2011,54,1396.0,90,5.0,5780,0,1,0,0
98,2014,43,1197.0,82.85,5.0,7073,0,0,0,1
99,2017,46,1198.0,67,7.0,6008,0,0,0,1
100,2010,35,2967.0,241.4,5.0,14907,0,1,0,0
101,2009,39,1197.0,80,5.0,4107,0,0,0,1
102,2010,32,796.0,35,5.0,3666,0,0,0,1
103,2014,41,1197.0,78.9,5.0,5932,0,0,0,1
104,2011,34,2993.0,270.9,5.0,36509,0,1,0,0
105,2012,37,2179.0,140,7.0,8747,0,1,0,0
106,2014,52,1582.0,126.32,5.0,7986,0,1,0,0
107,2017,26,2755.0,171.5,7.0,29283,0,1,0,0
108,2017,35,1196.0,73,5.0,5947,0,0,0,1
109,2014,59,624.0,37.5,4.0,3270,0,0,0,1
110,2015,53,1995.0,190,5.0,31565,0,1,0,0
111,2010,31,1799.0,130,5.0,5096,0,0,0,1
112,2014,30,2494.0,100.6,7.0,16900,0,1,0,0
113,2014,54,1984.0,150,5.0,30424,0,1,0,0
114,2016,45,1198.0,75.94,5.0,9963,0,0,0,1
115,2009,25,2497.0,215,5.0,10648,0,0,0,1
116,2016,57,1248.0,88.5,5.0,11409,0,1,0,0
117,2014,35,2143.0,107.3,5.0,25480,0,1,0,0
118,2018,51,1582.0,126.2,5.0,16657,0,1,0,0
119,2011,44,998.0,67.1,5.0,3726,0,0,0,1
120,2017,51,624.0,37.48,4.0,4913,0,0,0,1
121,2014,28,2179.0,120,8.0,11789,0,1,0,0
122,2009,27,1796.0,178,5.0,14223,0,0,0,1
123,2013,62,998.0,58.16,5.0,4943,1,0,0,0
124,2007,25,2354.0,152,5.0,7986,0,0,0,1
125,2015,49,1498.0,103.2,5.0,11028,0,1,0,0
126,2017,48,1373.0,91.1,5.0,11363,0,0,0,1
127,2016,37,2179.0,140,7.0,20156,0,1,0,0
128,2016,49,1197.0,85.80,5.0,8838,0,0,0,1
129,2014,56,998.0,67.1,5.0,3955,0,0,0,1
130,2017,44,2996.0,362.07,2.0,82145,0,0,0,1
131,2019,39,1591.0,121.3,5.0,17494,0,0,0,1
132,2010,46,796.0,46.3,5.0,2433,0,0,0,1
133,2015,48,1995.0,143,5.0,26195,0,1,0,0
134,2015,44,1199.0,88.7,5.0,9127,0,0,0,1
135,2012,31,1799.0,130,5.0,6008,0,0,0,1
136,2014,45,2143.0,170,5.0,27305,0,1,0,0
137,2014,60,1498.0,98.6,5.0,5628,0,1,0,0
138,2016,51,1197.0,81.80,5.0,8260,0,0,0,1
139,2012,27,2982.0,171,7.0,20521,0,1,0,0
140,2014,43,1199.0,76.8,5.0,4335,0,0,0,1
141,2013,49,1498.0,103.52,5.0,7225,0,1,0,0
142,2018,48,1373.0,91.1,5.0,15060,0,0,0,1
143,2013,25,2894.0,444,4.0,56285,0,0,0,1
144,2014,51,1995.0,190,5.0,40312,0,1,0,0
145,2015,40,1968.0,174.33,5.0,35474,0,1,0,0
146,2016,53,1248.0,74,5.0,9507,0,1,0,0
147,2010,18,5461.0,362.9,5.0,45636,0,0,0,1
148,2016,50,1498.0,103.52,5.0,14999,0,1,0,0
149,2012,40,1968.0,138.1,5.0,12930,0,1,0,0
150,2019,49,814.0,55.2,5.0,6434,0,0,0,1
151,2012,51,1199.0,73.9,5.0,5324,0,1,0,0
152,2016,48,1198.0,67.06,5.0,3803,0,0,0,1
153,2013,45,1198.0,86.8,5.0,3635,0,0,0,1
154,2013,34,1595.0,120.7,5.0,17113,0,0,0,1
155,2015,61,1498.0,98.6,5.0,10815,0,1,0,0
156,2016,30,2494.0,100.6,7.0,16581,0,1,0,0
157,2017,47,1197.0,81.80,5.0,9431,0,0,0,1
158,2012,35,2179.0,140,7.0,12017,0,1,0,0
159,2014,53,1498.0,89.84,5.0,6723,0,1,0,0
160,2012,30,2982.0,168.5,7.0,20536,0,1,0,0
161,2013,50,1498.0,108.5,5.0,9507,0,1,0,0
162,2010,47,1399.0,68,5.0,3194,0,1,0,0
163,2015,35,2993.0,258,5.0,68454,0,1,0,0
164,2017,45,2143.0,167.62,5.0,51204,0,1,0,0
165,2012,45,1198.0,86.8,5.0,5552,0,0,0,1
166,2013,47,1197.0,78.9,5.0,4183,0,0,0,1
167,2016,42,2143.0,170,5.0,64651,0,1,0,0
168,2019,44,1197.0,81.86,5.0,9887,0,0,0,1
169,2012,41,1968.0,174.33,5.0,28903,0,1,0,0
170,2013,33,1598.0,103.6,5.0,6769,0,0,0,1
171,2017,39,1998.0,112,5.0,34988,0,1,0,0
172,2014,53,1396.0,88.73,5.0,12702,0,1,0,0
173,2014,41,1968.0,174.33,5.0,34911,0,1,0,0
174,2012,59,936.0,57.6,5.0,2281,0,1,0,0
175,2012,32,1798.0,157.75,5.0,10481,0,0,0,1
176,2006,41,1399.0,68,5.0,2205,0,1,0,0
177,2014,52,1995.0,190,5.0,50960,0,1,0,0
178,2007,30,1598.0,102.5,5.0,1901,0,0,0,1
179,2012,51,1199.0,73.9,5.0,6389,0,1,0,0
180,2015,46,1461.0,108.5,8.0,10268,0,1,0,0
181,2014,30,2143.0,201.1,5.0,48679,0,1,0,0
182,2017,50,1197.0,83.1,5.0,11409,0,0,0,1
183,2012,52,1582.0,126.32,5.0,6997,0,1,0,0
184,2017,46,1086.0,68.05,5.0,6145,0,0,0,1
185,2016,36,1997.0,120,7.0,15683,0,1,0,0
186,2018,29,2179.0,187.7,5.0,84823,0,1,0,0
187,2010,47,1399.0,68,5.0,3955,0,1,0,0
188,2016,59,1248.0,88.50,7.0,12930,0,1,0,0
189,2014,60,1498.0,98.6,5.0,5324,0,1,0,0
190,2015,47,1197.0,78.9,5.0,5400,0,0,0,1
191,2013,60,1498.0,98.6,5.0,4943,0,1,0,0
192,2008,41,1896.0,106,5.0,6845,0,1,0,0
193,2014,46,1461.0,83.8,5.0,8138,0,1,0,0
194,2017,41,1493.0,100,7.0,9887,0,1,0,0
195,2016,57,1248.0,88.5,5.0,13690,0,1,0,0
196,2016,43,1197.0,81.83,5.0,9127,0,0,0,1
197,2009,34,1390.0,85,5.0,4183,0,0,0,1
198,2010,36,1193.0,64.1,5.0,2281,0,0,0,1
199,2015,36,1968.0,174.33,5.0,30272,0,1,0,0
200,2014,34,1798.0,177.5,5.0,15212,0,0,0,1
201,2014,55,1364.0,67.06,5.0,4563,0,1,0,0
202,2014,34,1595.0,120.7,5.0,18193,0,0,0,1
203,2013,64,1498.0,98.6,5.0,4943,0,1,0,0
204,2012,52,1582.0,126.32,5.0,7225,0,1,0,0
205,2014,48,1461.0,83.8,5.0,9051,0,1,0,0
206,2015,35,1591.0,121.3,5.0,12397,0,0,0,1
207,2016,48,998.0,67,5.0,6419,0,0,0,1
208,2010,27,1796.0,186,5.0,15972,0,0,0,1
209,2012,27,2967.0,246.7,5.0,68454,0,1,0,0
210,2012,46,1086.0,68.05,5.0,4411,0,0,0,1
211,2017,33,1598.0,103.52,5.0,13538,0,0,0,1
212,2017,34,1798.0,177.46,5.0,39551,0,0,0,1
213,2018,40,1197.0,81.86,5.0,12504,0,0,0,1
214,2014,60,1498.0,98.6,5.0,5324,0,1,0,0
215,2004,44,998.0,67.1,5.0,1901,0,0,0,1
216,2013,49,1461.0,65,5.0,5628,0,1,0,0
217,2018,45,2143.0,167.62,5.0,59951,0,1,0,0
218,2013,52,998.0,67.04,5.0,4031,0,0,0,1
219,2015,44,1461.0,108.5,5.0,13569,0,1,0,0
220,2017,39,1998.0,189.08,4.0,54261,0,0,0,1
221,2007,40,1396.0,53.5,5.0,1293,0,1,0,0
222,2016,43,1199.0,76.8,5.0,5050,0,0,0,1
223,2012,51,1199.0,73.9,5.0,5476,0,1,0,0
224,2016,53,1248.0,74,5.0,10344,0,1,0,0
225,2012,47,1399.0,68.05,5.0,3803,0,1,0,0
226,2019,26,2755.0,171.5,7.0,29876,0,1,0,0
227,2011,27,2199.0,194.3,7.0,10648,0,1,0,0
228,2011,40,1497.0,117.3,5.0,5887,0,0,0,1
229,2018,43,1197.0,81.83,5.0,9538,0,0,0,1
230,2015,45,2143.0,167.62,5.0,27564,0,1,0,0
231,2013,59,936.0,57.6,5.0,4031,0,1,0,0
232,2015,53,1396.0,88.73,5.0,10952,0,1,0,0
233,2015,30,2494.0,100.6,7.0,21753,0,1,0,0
234,2013,48,1248.0,88.76,7.0,10496,0,1,0,0
235,2014,30,2494.0,102,7.0,16353,0,1,0,0
236,2016,41,1497.0,117.3,5.0,12306,0,0,0,1
237,2014,40,1995.0,184,5.0,28142,0,1,0,0
238,2017,56,1120.0,70,5.0,7225,0,1,0,0
239,2016,66,1248.0,88.5,5.0,12854,0,1,0,0
240,2012,48,1598.0,103.6,5.0,5324,0,1,0,0
241,2006,30,1493.0,82,5.0,2738,0,1,0,0
242,2014,46,1498.0,103.6,5.0,5628,0,1,0,0
243,2017,43,1199.0,88.7,5.0,10907,0,0,0,1
244,2010,46,1086.0,68.05,5.0,2662,0,0,0,1
245,2018,38,1995.0,183,5.0,33451,0,1,0,0
246,2017,32,2393.0,147.8,7.0,28370,0,1,0,0
247,2011,46,796.0,35,5.0,2814,0,0,0,1
248,2017,47,1197.0,81.80,5.0,9051,0,0,0,1
249,2014,44,1197.0,82,5.0,5704,0,0,0,1
250,2012,53,1248.0,74,5.0,5704,0,1,0,0
251,2008,51,1582.0,126.2,5.0,3955,0,1,0,0
252,2010,39,1197.0,80,5.0,4259,0,0,0,1
253,2017,27,2987.0,254.79,5.0,93235,0,1,0,0
254,2014,37,2148.0,170,5.0,27381,0,1,0,0
255,2014,54,1248.0,73.94,5.0,6617,0,1,0,0
256,2016,46,1582.0,126.2,5.0,20916,0,1,0,0
257,2010,44,998.0,66.1,5.0,3042,0,0,0,1
258,2016,46,1461.0,108.45,5.0,15212,0,1,0,0
259,2010,41,1248.0,76,5.0,2510,0,1,0,0
260,2017,38,2993.0,258,5.0,69626,0,1,0,0
261,2010,47,1197.0,78.9,5.0,4943,0,0,0,1
262,2016,30,2494.0,102,7.0,19471,0,1,0,0
263,2002,40,993.0,60,5.0,836,0,0,0,1
